2026-05-02 02:11:28 | INFO | 🟢 HOLD_ADD   | HUDCO           | ₹    224.00 | Above all weekly EMAs
2026-05-02 02:11:30 | INFO | 🔴 EXIT       | SRF             | ₹   2525.00 | Below 40W EMA
2026-05-02 02:11:32 | INFO | 🟡 WAIT       | BLUESTARCO      | ₹   1781.00 | EMAs converging, no breakout yet
2026-05-02 02:11:34 | INFO | 🔴 EXIT       | MRF             | ₹ 130000.00 | Below 40W EMA
2026-05-02 02:11:36 | INFO | 🟡 WAIT       | HBLENGINE       | ₹    797.60 | EMAs converging, no breakout yet
2026-05-02 02:11:39 | INFO | 🟡 WAIT       | PHOENIXLTD      | ₹   1768.10 | EMAs converging, no breakout yet
2026-05-02 02:11:41 | INFO | 🔴 EXIT       | LICI            | ₹    799.00 | Below 40W EMA
2026-05-02 02:11:43 | INFO | 🟡 WAIT       | FORTIS          | ₹    922.00 | EMAs converging, no breakout yet
2026-05-02 02:11:45 | INFO | 🔴 EXIT       | KALYANKJIL      | ₹    412.50 | Below 40W EMA
2026-05-02 02:11:47 | INFO | 🔴 EXIT       | HYUNDAI         | ₹   1828.00 | Below 40W EMA
2026-05-02 02:11:49 | INFO | 🔴 EXIT       | INDHOTEL        | ₹    638.45 | Below 40W EMA
